seed_mod210,selected_rank,priority_label,direction_label,cohort_role,nearest_covered_source_k,nearest_covered_source_prime,row_count,share_within_class_role,circular_residue_distance_median,circular_residue_distance_p90,circular_residue_distance_max,distance_minus_complete_median,distance_minus_complete_min,distance_minus_complete_max
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,4,7,16,0.07655502392344497,97.0,97,97,0.0,0,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,137,0.6555023923444976,41,67,79,0,0,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,6,13,24,0.11483253588516747,12.0,25,30,0.0,0,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,23,0.11004784688995216,12,48,78,0,0,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,9,0.0430622009569378,23,44,53,0,0,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,4,7,18,0.08737864077669903,97.0,97,97,78.0,74,86
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,133,0.6456310679611651,41,67,79,12,-90,67
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,20,0.0970873786407767,12.0,18,30,-13.0,-85,5
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,23,0.11165048543689321,23,49,78,4,-79,67
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,12,0.05825242718446602,37.0,49,65,-6.0,-86,30
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,4,7,16,0.07655502392344497,98.0,98,98,1.0,1,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,136,0.6507177033492823,48.0,68,78,-1.0,-1,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,6,13,25,0.11961722488038277,11,24,29,-1,-1,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,23,0.11004784688995216,11,42,59,-1,-1,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,9,0.0430622009569378,22,45,52,1,-1,1
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,4,7,204,1.0,2.0,2,2,0.0,0,0
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,4,7,204,1.0,2.0,2,2,0.0,0,0
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,4,7,204,1.0,1.0,1,1,-1.0,-1,-1
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,4,7,18,0.09137055837563451,97.0,97,97,0.0,0,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,142,0.7208121827411168,37.0,49,79,0.0,0,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,6,13,17,0.08629441624365482,12,25,30,0,0,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,15,0.07614213197969544,12,23,41,0,0,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,8,19,5,0.025380710659898477,23,37,95,0,0,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,4,7,31,0.16062176165803108,97,97,97,78,74,90
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,107,0.5544041450777202,23,67,79,-26,-90,60
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,18,0.09326424870466321,12.0,29,30,-11.0,-61,22
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,23,0.11917098445595854,12,30,78,-11,-85,43
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,8,19,14,0.07253886010362694,11.5,25,83,-0.5,-38,60
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_any_control,4,7,18,0.09137055837563451,96.0,96,96,-1.0,-1,-1
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_any_control,5,11,142,0.7208121827411168,36.0,50,80,1.0,-1,1
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_any_control,6,13,17,0.08629441624365482,13,26,31,1,-1,1
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_any_control,7,17,15,0.07614213197969544,13,24,40,1,-1,1
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_any_control,8,19,5,0.025380710659898477,24,36,94,-1,-1,1
206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,4,7,185,1.0,2,2,2,0,0,0
206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,4,7,185,1.0,2,2,2,0,0,0
206,4,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,4,7,185,1.0,3,3,3,1,1,1
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,4,7,18,0.1111111111111111,90.0,90,90,0.0,0,0
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,5,11,81,0.5,30,86,86,0,0,0
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,6,13,42,0.25925925925925924,19.0,19,19,0.0,0,0
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,7,17,19,0.11728395061728394,11,23,30,0,0,0
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,8,19,2,0.012345679012345678,61.0,34,88,0.0,0,0
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,4,7,12,0.075,90.0,90,90,84.5,64,86
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,5,11,92,0.575,30.0,60,86,4.0,-86,75
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,6,13,18,0.1125,8.5,32,36,-16.0,-83,32
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,7,17,34,0.2125,19.0,49,60,-9.0,-79,50
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,8,19,4,0.025,8.5,10,52,-24.5,-80,22
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,4,7,18,0.1111111111111111,91.0,91,91,1.0,1,1
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,5,11,81,0.5,31,85,85,1,-1,1
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,6,13,42,0.25925925925925924,18.0,18,18,-1.0,-1,1
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,7,17,19,0.11728395061728394,12,24,31,-1,-1,1
118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,8,19,2,0.012345679012345678,62.0,35,89,1.0,1,1
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,4,7,26,0.16993464052287582,86.0,86,86,0.0,0,0
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,5,11,82,0.5359477124183006,30.0,60,60,0.0,0,0
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,6,13,26,0.16993464052287582,11.0,23,36,0.0,0,0
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,7,17,16,0.10457516339869281,11.0,30,84,0.0,0,0
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,8,19,3,0.0196078431372549,30,30,34,0,0,0
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,4,7,31,0.2052980132450331,86,86,86,63,52,82
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,5,11,77,0.5099337748344371,30,60,60,-26,-82,53
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,6,13,19,0.12582781456953643,23,23,36,-11,-75,19
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,7,17,18,0.11920529801324503,23.0,23,41,-9.0,-63,37
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,8,19,6,0.039735099337748346,31.0,56,79,0.0,-9,45
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,4,7,27,0.17647058823529413,85,85,85,-1,-1,1
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,5,11,82,0.5359477124183006,31.0,61,61,1.0,-1,1
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,6,13,26,0.16993464052287582,12.0,24,37,1.0,-1,1
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,7,17,15,0.09803921568627451,12,24,54,1,-1,1
88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,8,19,3,0.0196078431372549,29,29,35,1,-1,1
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,4,7,148,0.9736842105263158,7.0,7,7,0.0,0,0
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,6,13,2,0.013157894736842105,5.0,5,5,0.0,0,0
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,7,17,1,0.006578947368421052,5,5,5,0,0,0
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,complete_uncertified,8,19,1,0.006578947368421052,5,5,5,0,0,0
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,4,7,149,0.9802631578947368,7,7,7,0,0,2
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,6,13,1,0.006578947368421052,5,5,5,-2,-2,-2
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,7,17,1,0.006578947368421052,5,5,5,-2,-2,-2
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_mod210_control,8,19,1,0.006578947368421052,5,5,5,-2,-2,-2
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,4,7,148,0.9736842105263158,8.0,8,8,1.0,1,1
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,6,13,2,0.013157894736842105,6.0,6,6,1.0,1,1
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,7,17,1,0.006578947368421052,6,6,6,1,1,1
201,7,large_class_mixed_direction,mod210_tied__any_complete_smaller,local_any_control,8,19,1,0.006578947368421052,6,6,6,1,1,1
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,4,7,37,0.24503311258278146,60,60,60,0,0,0
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,75,0.4966887417218543,30,56,56,0,0,0
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,6,13,19,0.12582781456953643,37,49,49,0,0,0
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,14,0.09271523178807947,33.5,49,53,0.0,0,0
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,6,0.039735099337748346,35.5,53,53,0.0,0,0
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,4,7,33,0.22,60,60,60,30,23,56
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,80,0.5333333333333333,30.0,56,56,-26.0,-56,26
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,13,0.08666666666666667,49,49,58,19,-11,28
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,19,0.12666666666666668,37,49,58,2,-49,38
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,5,0.03333333333333333,24,26,37,2,-49,7
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,4,7,37,0.24503311258278146,59,59,59,-1,-1,-1
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,75,0.4966887417218543,29,57,57,-1,-1,1
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,6,13,19,0.12582781456953643,38,50,50,1,-1,1
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,14,0.09271523178807947,34.5,50,52,1.0,-1,1
62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,6,0.039735099337748346,35.5,52,52,-1.0,-1,1
