birth_parent_residue,birth_child_residue,control_parent_residue,control_child_residue,control_lift_remainder,match_rank,match_reason,birth_parent_residual_measure,control_parent_residual_measure,birth_reflection_orbit,control_reflection_orbit,birth_parent_mod210,control_parent_mod210,control_phase_margin,control_aperture_tension,control_transition_label,control_capacity_pass,control_parent_uncovered_exact,control_child_covered_exact,control_exact_b8_birth
12268,9201448,95728,5200828,15,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,88,178,-8/247,8/247,miss,True,True,False,False
12268,9201448,150752,1171772,4,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,88,182,-8/247,8/247,miss,True,True,False,False
29462,3603032,111362,9300542,4,1,capacity_nonclose;same_width;same_mod210,1/52,1/52,7/12,3/16,62,62,-8/247,8/247,miss,True,True,False,False
29462,3603032,111362,8279522,6,2,capacity_nonclose;same_width;same_mod210,1/52,1/52,7/12,3/16,62,62,-3/76,3/76,miss,True,True,False,False
41620,9230800,486969,8144619,3,1,capacity_nonclose;nearest_width,2/143,3/221,9/10,1/18,40,189,-7/323,7/323,miss,True,True,False,False
41620,9230800,486969,7123599,5,2,capacity_nonclose;nearest_width,2/143,3/221,9/10,1/18,40,189,-11/247,11/247,miss,True,True,False,False
66261,6192381,121701,5737311,14,1,capacity_nonclose;same_width;same_mod210,1/77,1/77,8/11,6/13,111,111,-3/133,3/133,miss,True,True,False,False
66261,6192381,121701,4716291,16,2,capacity_nonclose;same_width;same_mod210,1/77,1/77,8/11,6/13,111,111,-9/209,9/209,miss,True,True,False,False
72009,7219149,375118,3438178,14,1,capacity_nonclose;nearest_width;same_reflection_orbit,5/143,3/85,1/18,1/18,189,58,-1/95,1/95,trim,True,True,False,False
72009,7219149,375118,3948688,13,2,capacity_nonclose;nearest_width;same_reflection_orbit,5/143,3/85,1/18,1/18,189,58,-8/323,8/323,trim,True,True,False,False
82468,6719098,434638,9113308,15,1,capacity_nonclose;same_width;same_mod210,1/52,1/52,8/11,6/13,148,148,-8/247,8/247,miss,True,True,False,False
82468,6719098,434638,434638,13,2,capacity_nonclose;same_width;same_mod210,1/52,1/52,8/11,6/13,148,148,-3/76,3/76,miss,True,True,False,False
90926,2132966,102904,3165964,13,1,capacity_nonclose;same_width,1/91,1/91,8/11,0/0,206,4,-2/133,2/133,miss,True,True,False,False
90926,2132966,367714,7004344,13,2,capacity_nonclose;same_width,1/91,1/91,8/11,7/12,206,4,-2/133,2/133,miss,True,True,False,False
95728,5711338,12268,8690938,15,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,178,88,-8/247,8/247,miss,True,True,False,False
95728,5711338,12268,12268,13,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,178,88,-3/76,3/76,miss,True,True,False,False
101968,101968,29462,4113542,4,1,capacity_nonclose;same_width,1/52,1/52,5/14,7/12,118,62,-8/247,8/247,miss,True,True,False,False
101968,101968,82468,6208588,15,2,capacity_nonclose;same_width,1/52,1/52,5/14,8/11,118,148,-8/247,8/247,miss,True,True,False,False
102904,3676474,397744,2439784,13,1,capacity_nonclose;same_width;same_mod210,1/91,1/91,0/0,2/17,4,4,-2/133,2/133,miss,True,True,False,False
102904,3676474,367714,8025364,11,2,capacity_nonclose;same_width;same_mod210,1/91,1/91,0/0,7/12,4,4,-12/247,12/247,miss,True,True,False,False
111362,8790032,118772,9307952,4,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,3/16,3/16,62,122,-8/247,8/247,miss,True,True,False,False
111362,8790032,118772,8286932,6,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,3/16,3/16,62,122,-3/76,3/76,miss,True,True,False,False
118772,8797442,111362,111362,3,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,3/16,3/16,122,62,-21/247,21/247,miss,True,True,False,False
118772,8797442,111362,7769012,7,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,3/16,3/16,122,62,-7/76,7/76,miss,True,True,False,False
121701,5226801,66261,6702891,14,1,capacity_nonclose;same_width;same_mod210,1/77,1/77,6/13,8/11,111,111,-3/133,3/133,miss,True,True,False,False
121701,5226801,66261,5681871,16,2,capacity_nonclose;same_width;same_mod210,1/77,1/77,6/13,8/11,111,111,-9/209,9/209,miss,True,True,False,False
128319,4212399,367714,6493834,14,1,capacity_nonclose;nearest_width;same_reflection_orbit,1/119,1/91,7/12,7/12,9,4,-9/133,9/133,miss,True,True,False,False
128319,4212399,367714,8535874,10,2,capacity_nonclose;nearest_width;same_reflection_orbit,1/119,1/91,7/12,7/12,9,4,-25/247,25/247,miss,True,True,False,False
133346,8812016,370778,1902308,9,1,capacity_nonclose;nearest_width,1/55,4/221,4/15,7/12,206,128,-6/247,6/247,miss,True,True,False,False
133346,8812016,370778,2923328,7,2,capacity_nonclose;nearest_width,1/55,4/221,4/15,7/12,206,128,-15/323,15/323,miss,True,True,False,False
144182,2696732,217408,7364548,15,1,capacity_nonclose;same_width;same_reflection_orbit,1/68,1/68,9/10,9/10,122,58,-9/323,9/323,miss,True,True,False,False
144182,2696732,217408,8385568,13,2,capacity_nonclose;same_width;same_reflection_orbit,1/68,1/68,9/10,9/10,122,58,-3/76,3/76,miss,True,True,False,False
150752,661262,95728,6221848,13,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,182,178,-3/76,3/76,miss,True,True,False,False
150752,661262,12268,8180428,16,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,182,88,-21/247,21/247,miss,True,True,False,False
152702,6789332,183902,8352062,4,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,1/18,1/18,32,152,-8/247,8/247,miss,True,True,False,False
152702,6789332,183902,7331042,6,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,1/18,1/18,32,152,-3/76,3/76,miss,True,True,False,False
168268,4762858,101968,9291148,15,1,capacity_nonclose;same_width,1/52,1/52,4/15,5/14,58,118,-8/247,8/247,miss,True,True,False,False
168268,4762858,152702,7299842,4,2,capacity_nonclose;same_width,1/52,1/52,4/15,1/18,58,32,-8/247,8/247,miss,True,True,False,False
183902,7841552,152702,6278822,6,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,1/18,1/18,152,32,-3/76,3/76,miss,True,True,False,False
183902,7841552,152702,7810352,3,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,1/18,1/18,152,32,-21/247,21/247,miss,True,True,False,False
217408,7875058,144182,3207242,4,1,capacity_nonclose;same_width;same_reflection_orbit,1/68,1/68,9/10,9/10,58,122,-9/323,9/323,miss,True,True,False,False
217408,7875058,144182,2186222,6,2,capacity_nonclose;same_width;same_reflection_orbit,1/68,1/68,9/10,9/10,58,122,-3/76,3/76,miss,True,True,False,False
232708,743218,493532,2025062,4,1,capacity_nonclose;same_width,1/68,1/68,4/15,7/12,28,32,-9/323,9/323,miss,True,True,False,False
232708,743218,510148,1531168,15,2,capacity_nonclose;same_width,1/68,1/68,4/15,2/17,28,58,-9/323,9/323,miss,True,True,False,False
275619,786129,66261,7213401,13,1,capacity_nonclose;same_width,1/77,1/77,5/14,8/11,99,111,-10/133,10/133,miss,True,True,False,False
275619,786129,121701,6247821,13,2,capacity_nonclose;same_width,1/77,1/77,5/14,6/13,99,111,-10/133,10/133,miss,True,True,False,False
330040,7987690,168268,4252348,15,1,capacity_nonclose;same_width,1/52,1/52,9/10,4/15,130,58,-8/247,8/247,miss,True,True,False,False
330040,7987690,29462,3092522,6,2,capacity_nonclose;same_width,1/52,1/52,9/10,7/12,130,62,-3/76,3/76,miss,True,True,False,False
333231,6969861,180699,2222739,5,1,capacity_nonclose;nearest_width;same_reflection_orbit,4/187,1/44,9/10,9/10,171,99,-2/209,2/209,trim,True,True,False,False
333231,6969861,180699,2733249,4,2,capacity_nonclose;nearest_width;same_reflection_orbit,4/187,1/44,9/10,9/10,171,99,-1/76,1/76,trim,True,True,False,False
367714,7514854,102904,4186984,11,1,capacity_nonclose;same_width;same_mod210,1/91,1/91,7/12,0/0,4,4,-12/247,12/247,miss,True,True,False,False
367714,7514854,397744,3460804,11,2,capacity_nonclose;same_width;same_mod210,1/91,1/91,7/12,2/17,4,4,-12/247,12/247,miss,True,True,False,False
370778,2412818,133346,9322526,5,1,capacity_nonclose;nearest_width,4/221,1/55,7/12,4/15,128,206,-6/209,6/209,miss,True,True,False,False
370778,2412818,133346,8301506,7,2,capacity_nonclose;nearest_width,4/221,1/55,7/12,4/15,128,206,-4/95,4/95,miss,True,True,False,False
397744,2950294,102904,2655454,14,1,capacity_nonclose;same_width;same_mod210,1/91,1/91,2/17,0/0,4,4,-9/133,9/133,miss,True,True,False,False
397744,2950294,102904,4697494,10,2,capacity_nonclose;same_width;same_mod210,1/91,1/91,2/17,0/0,4,4,-25/247,25/247,miss,True,True,False,False
434638,9623818,150752,150752,6,1,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,148,182,-3/76,3/76,miss,True,True,False,False
434638,9623818,95728,4690318,16,2,capacity_nonclose;same_width;same_reflection_orbit,1/52,1/52,6/13,6/13,148,178,-21/247,21/247,miss,True,True,False,False
486969,7634109,41620,8720290,12,1,capacity_nonclose;nearest_width,3/221,2/143,1/18,9/10,189,40,-7/247,7/247,miss,True,True,False,False
486969,7634109,41620,41620,10,2,capacity_nonclose;nearest_width,3/221,2/143,1/18,9/10,189,40,-8/209,8/209,miss,True,True,False,False
493532,1514552,232708,232708,15,1,capacity_nonclose;same_width,1/68,1/68,7/12,4/15,32,28,-9/323,9/323,miss,True,True,False,False
493532,1514552,232708,1253728,13,2,capacity_nonclose;same_width,1/68,1/68,7/12,4/15,32,28,-3/76,3/76,miss,True,True,False,False
510148,2041678,217408,6854038,16,1,capacity_nonclose;same_width;same_mod210,1/68,1/68,2/17,9/10,58,58,-26/323,26/323,miss,True,True,False,False
510148,2041678,217408,8896078,12,2,capacity_nonclose;same_width;same_mod210,1/68,1/68,2/17,9/10,58,58,-7/76,7/76,miss,True,True,False,False
